FIPS,NAME,CLINTON,SANDERS,OMALLEY,DEM_OTHER
49029,Morgan,0.26,0.693,0.0,0.047
49035,Salt Lake,0.209,0.788,0.0,0.004
49037,San Juan,0.352,0.648,0.0,0.0
49039,Sanpete,0.141,0.849,0.0,0.01
49041,Sevier,0.286,0.714,0.0,0.0
49043,Summit,0.312,0.683,0.0,0.005
49045,Tooele,0.195,0.8,0.0,0.006
49047,Uintah,0.22,0.763,0.0,0.017
49049,Utah,0.142,0.853,0.0,0.005
49051,Wasatch,0.233,0.764,0.0,0.003
49053,Washington,0.304,0.695,0.0,0.001
49055,Wayne,0.297,0.693,0.0,0.01
49057,Weber,0.169,0.828,0.0,0.003
15001,Hawaii,0.226,0.773,0.0,0.001
15003,Honolulu,0.368,0.63,0.0,0.002
15007,Kauai,0.228,0.771,0.0,0.001
15009,Maui,0.212,0.785,0.0,0.002
53001,Adams,0.261,0.739,0.0,0.0
53003,Asotin,0.328,0.672,0.0,0.0
53005,Benton,0.217,0.783,0.0,0.0
53007,Chelan,0.283,0.717,0.0,0.0
53009,Clallam,0.31,0.686,0.0,0.004
53011,Clark,0.215,0.783,0.0,0.001
53013,Columbia,0.231,0.769,0.0,0.0
53015,Cowlitz,0.23,0.77,0.0,0.0
53017,Douglas,0.267,0.733,0.0,0.0
53019,Ferry,0.217,0.783,0.0,0.0
53021,Franklin,0.201,0.799,0.0,0.0
53023,Garfield,0.4,0.6,0.0,0.0
53025,Grant,0.204,0.789,0.0,0.007
53027,Grays Harbor,0.267,0.724,0.0,0.008
53029,Island,0.306,0.691,0.0,0.003
53031,Jefferson,0.293,0.707,0.0,0.0
53033,King,0.326,0.673,0.0,0.001
53035,Kitsap,0.274,0.725,0.0,0.001
53037,Kittitas,0.226,0.774,0.0,0.0
53039,Klickitat,0.167,0.833,0.0,0.0
53041,Lewis,0.176,0.814,0.0,0.01
53043,Lincoln,0.258,0.71,0.0,0.032
53045,Mason,0.255,0.736,0.0,0.009
53047,Okanogan,0.13,0.87,0.0,0.0
53049,Pacific,0.189,0.811,0.0,0.0
53051,Pend Oreille,0.222,0.778,0.0,0.0
53053,Pierce,0.265,0.733,0.0,0.002
53055,San Juan,0.24,0.76,0.0,0.0
53057,Skagit,0.265,0.735,0.0,0.0
53059,Skamania,0.098,0.902,0.0,0.0
53061,Snohomish,0.238,0.761,0.0,0.001
53063,Spokane,0.217,0.781,0.0,0.002
53065,Stevens,0.184,0.808,0.0,0.008
53067,Thurston,0.22,0.778,0.0,0.003
53069,Wahkiakum,0.105,0.895,0.0,0.0
53071,Walla Walla,0.292,0.708,0.0,0.0
53073,Whatcom,0.192,0.805,0.0,0.002
53075,Whitman,0.204,0.796,0.0,0.0
53077,Yakima,0.237,0.757,0.0,0.006
55001,Adams,0.474,0.518,0.0,0.007
55003,Ashland,0.368,0.63,0.0,0.002
55005,Barron,0.462,0.532,0.0,0.007
55007,Bayfield,0.362,0.635,0.0,0.003
55009,Brown,0.424,0.573,0.0,0.003
55011,Buffalo,0.415,0.578,0.0,0.007
55013,Burnett,0.494,0.503,0.0,0.003
55015,Calumet,0.429,0.568,0.0,0.003
55017,Chippewa,0.438,0.557,0.0,0.005
55019,Clark,0.428,0.564,0.0,0.008
55021,Columbia,0.392,0.605,0.0,0.003
55023,Crawford,0.414,0.578,0.0,0.008
55025,Dane,0.373,0.626,0.0,0.002
55027,Dodge,0.418,0.579,0.0,0.003
55029,Door,0.461,0.536,0.0,0.003
55031,Douglas,0.439,0.554,0.0,0.008
55033,Dunn,0.36,0.635,0.0,0.004
55035,Eau Claire,0.358,0.639,0.0,0.002
55037,Florence,0.369,0.618,0.0,0.013
55039,Fond du Lac,0.427,0.571,0.0,0.003
55041,Forest,0.481,0.511,0.0,0.008
55043,Grant,0.402,0.593,0.0,0.005
55045,Green,0.387,0.609,0.0,0.004
55047,Green Lake,0.429,0.566,0.0,0.005
55049,Iowa,0.402,0.594,0.0,0.004
55051,Iron,0.439,0.546,0.0,0.015
55053,Jackson,0.41,0.584,0.0,0.006
55055,Jefferson,0.387,0.611,0.0,0.003
55057,Juneau,0.422,0.573,0.0,0.004
55059,Kenosha,0.425,0.572,0.0,0.003
55061,Kewaunee,0.471,0.524,0.0,0.005
55063,La Crosse,0.369,0.628,0.0,0.002
55065,Lafayette,0.464,0.529,0.0,0.007
55067,Langlade,0.45,0.542,0.0,0.008
55069,Lincoln,0.414,0.583,0.0,0.003
55071,Manitowoc,0.434,0.561,0.0,0.005
55073,Marathon,0.407,0.589,0.0,0.004
55075,Marinette,0.486,0.508,0.0,0.006
55077,Marquette,0.427,0.567,0.0,0.005
55078,Menominee,0.364,0.633,0.0,0.004
55079,Milwaukee,0.517,0.48,0.0,0.002
55081,Monroe,0.389,0.606,0.0,0.005
55083,Oconto,0.481,0.513,0.0,0.006
55085,Oneida,0.394,0.602,0.0,0.005
55087,Outagamie,0.396,0.601,0.0,0.003
55089,Ozaukee,0.488,0.51,0.0,0.002
55091,Pepin,0.436,0.561,0.0,0.003
55093,Pierce,0.419,0.572,0.0,0.009
55095,Polk,0.463,0.527,0.0,0.009
55097,Portage,0.349,0.647,0.0,0.004
55099,Price,0.378,0.616,0.0,0.007
55101,Racine,0.489,0.508,0.0,0.003
55103,Richland,0.416,0.582,0.0,0.001
55105,Rock,0.392,0.605,0.0,0.003
55107,Rusk,0.425,0.569,0.0,0.006
55109,St. Croix,0.46,0.533,0.0,0.007
55111,Sauk,0.385,0.612,0.0,0.003
55113,Sawyer,0.369,0.626,0.0,0.005
55115,Shawano,0.415,0.582,0.0,0.003
55117,Sheboygan,0.454,0.54,0.0,0.006
55119,Taylor,0.397,0.596,0.0,0.007
55121,Trempealeau,0.448,0.548,0.0,0.004
55123,Vernon,0.356,0.641,0.0,0.003
55125,Vilas,0.396,0.601,0.0,0.003
55127,Walworth,0.38,0.617,0.0,0.003
55129,Washburn,0.424,0.568,0.0,0.008
55131,Washington,0.453,0.544,0.0,0.003
55133,Waukesha,0.484,0.514,0.0,0.003
55135,Waupaca,0.397,0.597,0.0,0.006
55137,Waushara,0.438,0.557,0.0,0.004
55139,Winnebago,0.385,0.612,0.0,0.003
55141,Wood,0.395,0.602,0.0,0.003
56001,Albany,0.242,0.758,0.0,0.0
56003,Big Horn,0.5,0.5,0.0,0.0
56005,Campbell,0.333,0.667,0.0,0.0
56007,Carbon,0.571,0.429,0.0,0.0
56009,Converse,0.4,0.6,0.0,0.0
56011,Crook,0.5,0.5,0.0,0.0
56013,Fremont,0.5,0.5,0.0,0.0
56015,Goshen,0.6,0.4,0.0,0.0
56017,Hot Springs,0.5,0.5,0.0,0.0
56019,Johnson,0.5,0.5,0.0,0.0
56021,Laramie,0.51,0.49,0.0,0.0
56023,Lincoln,0.5,0.5,0.0,0.0
56025,Natrona,0.526,0.474,0.0,0.0
56027,Niobrara,0.0,1.0,0.0,0.0
